#{"t_start": 1731331267.9739974, "env_id": "CartPole-v1"}
r,l,t
9.0,9,5.358593
9.0,9,5.370458
10.0,10,5.38399
10.0,10,5.397175
12.0,12,5.413001
9.0,9,5.425233
11.0,11,5.43972
8.0,8,5.452139
10.0,10,5.471566
9.0,9,5.483994
10.0,10,5.497072
12.0,12,5.512549
11.0,11,5.526893
10.0,10,5.540081
10.0,10,5.553148
11.0,11,5.567403
11.0,11,5.581791
8.0,8,5.592323
11.0,11,5.606573
11.0,11,5.620851
8.0,8,5.631474
13.0,13,5.648419
9.0,9,5.660358
8.0,8,5.671034
8.0,8,5.681292
8.0,8,5.693023
11.0,11,5.707854
9.0,9,5.720069
12.0,12,5.736358
10.0,10,5.749563
8.0,8,5.7598
8.0,8,5.770536
11.0,11,5.787568
10.0,10,5.801145
10.0,10,5.814524
8.0,8,5.824812
10.0,10,5.838822
10.0,10,5.852249
11.0,11,5.866807
10.0,10,5.879988
9.0,9,5.891519
10.0,10,5.904669
9.0,9,5.916404
9.0,9,5.92812
12.0,12,5.943703
9.0,9,5.95529
9.0,9,5.966992
10.0,10,5.980049
8.0,8,5.990491
10.0,10,6.003274
12.0,12,6.019021
11.0,11,6.033546
11.0,11,6.047849
11.0,11,6.062109
9.0,9,6.074185
11.0,11,6.088857
10.0,10,6.10201
10.0,10,6.114993
10.0,10,6.128126
12.0,12,6.143781
8.0,8,6.154271
12.0,12,6.170059
11.0,11,6.184605
9.0,9,6.196272
11.0,11,6.210739
10.0,10,6.224009
11.0,11,6.238376
10.0,10,6.251627
9.0,9,6.263523
11.0,11,6.277953
11.0,11,6.29238
9.0,9,6.304198
9.0,9,6.316087
9.0,9,6.328267
10.0,10,6.341743
10.0,10,6.35514
13.0,13,6.372198
10.0,10,6.385634
12.0,12,6.401209
9.0,9,6.412997
9.0,9,6.425052
9.0,9,6.436621
11.0,11,6.451527
12.0,12,6.467668
12.0,12,6.483918
11.0,11,6.498886
11.0,11,6.513856
12.0,12,6.530146
11.0,11,6.546089
10.0,10,6.559994
10.0,10,6.573599
16.0,16,6.594938
10.0,10,6.608709
10.0,10,6.62206
10.0,10,6.636426
10.0,10,6.650837
13.0,13,6.668423
12.0,12,6.68433
12.0,12,6.700499
10.0,10,6.71366
12.0,12,6.729759
12.0,12,6.745914
11.0,11,6.760495
11.0,11,6.774945
13.0,13,6.792293
16.0,16,6.814171
13.0,13,6.831711
14.0,14,6.850516
13.0,13,6.86792
13.0,13,6.885345
13.0,13,6.903526
14.0,14,6.922322
61.0,61,7.004867
21.0,21,7.033266
13.0,13,7.050853
15.0,15,7.070845
13.0,13,7.088299
27.0,27,7.124989
48.0,48,7.189959
43.0,43,7.248068
13.0,13,7.26556
11.0,11,7.280433
12.0,12,7.296764
17.0,17,7.319368
16.0,16,7.342612
19.0,19,7.370268
18.0,18,7.394488
23.0,23,7.42572
33.0,33,7.470366
36.0,36,7.519409
41.0,41,7.574726
29.0,29,7.613702
29.0,29,7.652606
34.0,34,7.698165
31.0,31,7.740172
44.0,44,7.799817
40.0,40,7.854704
64.0,64,7.944373
48.0,48,8.011258
49.0,49,8.080165
55.0,55,8.157927
46.0,46,8.222768
54.0,54,8.300774
117.0,117,8.467768
55.0,55,8.545131
32.0,32,8.591053
41.0,41,8.650107
33.0,33,8.695687
53.0,53,8.768566
121.0,121,8.940639
43.0,43,9.002054
64.0,64,9.09333
73.0,73,9.200056
41.0,41,9.260396
55.0,55,9.337661
37.0,37,9.390434
28.0,28,9.43076
85.0,85,9.552112
69.0,69,9.651311
35.0,35,9.703179
42.0,42,9.763655
44.0,44,9.827362
38.0,38,9.882086
31.0,31,9.926586
39.0,39,9.982704
42.0,42,10.043475
29.0,29,10.08596
65.0,65,10.178282
73.0,73,10.284059
70.0,70,10.38643
91.0,91,10.521482
39.0,39,10.578429
39.0,39,10.636216
36.0,36,10.689204
52.0,52,10.765919
112.0,112,10.932995
69.0,69,11.035085
75.0,75,11.144455
116.0,116,11.316133
203.0,203,11.618861
183.0,183,11.888033
197.0,197,12.179126
100.0,100,12.328516
127.0,127,12.521845
122.0,122,12.70766
124.0,124,12.896102
111.0,111,13.066244
102.0,102,13.222708
55.0,55,13.306832
89.0,89,13.443985
74.0,74,13.556346
86.0,86,13.688426
84.0,84,13.816373
87.0,87,13.94899
79.0,79,14.070734
129.0,129,14.268142
98.0,98,14.419144
81.0,81,14.543294
372.0,372,15.111339
106.0,106,15.293698
113.0,113,15.465747
93.0,93,15.611355
104.0,104,15.772398
149.0,149,16.003031
120.0,120,16.190569
101.0,101,16.345558
142.0,142,16.568479
101.0,101,16.726157
151.0,151,16.959836
136.0,136,17.171848
140.0,140,17.389556
208.0,208,17.711463
158.0,158,17.954649
160.0,160,18.198965
166.0,166,18.451788
188.0,188,18.740527
178.0,178,19.010508
199.0,199,19.310352
156.0,156,19.552829
199.0,199,19.857235
214.0,214,20.183655
183.0,183,20.467349
267.0,267,20.877475
205.0,205,21.190832
190.0,190,21.478123
334.0,334,21.984454
194.0,194,22.286678
227.0,227,22.634404
226.0,226,22.982344
264.0,264,23.394787
220.0,220,23.739862
283.0,283,24.183836
226.0,226,24.53799
198.0,198,24.840283
173.0,173,25.10315
239.0,239,25.4698
212.0,212,25.795356
214.0,214,26.121619
330.0,330,26.626761
170.0,170,26.885901
217.0,217,27.21748
251.0,251,27.600591
215.0,215,27.935777
260.0,260,28.341448
195.0,195,28.650692
191.0,191,28.946532
161.0,161,29.195619
201.0,201,29.503376
167.0,167,29.758613
209.0,209,30.077714
186.0,186,30.360717
400.0,400,30.96212
215.0,215,31.287587
208.0,208,31.605416
239.0,239,31.970919
206.0,206,32.287308
179.0,179,32.564019
287.0,287,33.001293
219.0,219,33.335105
181.0,181,33.612518
266.0,266,34.020538
211.0,211,34.343912
160.0,160,34.588327
182.0,182,34.873054
166.0,166,35.131485
167.0,167,35.38625
181.0,181,35.665011
203.0,203,35.974533
182.0,182,36.253752
178.0,178,36.52782
202.0,202,36.836968
172.0,172,37.099992
