Mon Nov 11 17:34:01 2024    output.prof

         19163925 function calls (17691946 primitive calls) in 45.691 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2475    0.073    0.000    0.342    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/buffers.py:306(_get_samples)
    76886    0.108    0.000    0.336    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:631(add_module)
        1    0.000    0.000    0.334    0.334 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/utils.py:1(<module>)
     2475    0.030    0.000    0.330    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/adam.py:439(_multi_tensor_adam)
    50260    0.031    0.000    0.319    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2611(parameters)
   533232    0.311    0.000    0.311    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:1918(__getattr__)
    38464    0.245    0.000    0.303    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:473(__init__)
    89322    0.107    0.000    0.289    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/optimizer.py:101(_get_value)
    50260    0.017    0.000    0.282    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2636(named_parameters)
    59622    0.280    0.000    0.280    0.000 {method 'view' of 'torch._C.TensorBase' objects}
    50260    0.070    0.000    0.267    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2591(_named_members)
    25332    0.070    0.000    0.264    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
   139810    0.128    0.000    0.259    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:184(__init__)
    12412    0.130    0.000    0.258    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/__init__.py:88(_make_grads)
    12412    0.042    0.000    0.250    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/optimizer.py:414(_cuda_graph_capture_health_check)
    59622    0.249    0.000    0.249    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
     9024    0.249    0.000    0.249    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
    12375    0.006    0.000    0.249    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/buffers.py:127(to_torch)
        1    0.000    0.000    0.246    0.246 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/fx/experimental/symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.246    0.246 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:1(<module>)
        1    0.000    0.000    0.232    0.232 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_sympy/functions.py:1(<module>)
        1    0.000    0.000    0.226    0.226 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/__init__.py:1(<module>)
723903/569270    0.126    0.000    0.225    0.000 {built-in method builtins.len}
   135096    0.113    0.000    0.216    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.213    0.213 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/variables/__init__.py:1(<module>)
    76983    0.198    0.000    0.209    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    27948    0.014    0.000    0.201    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/activation.py:132(forward)
    14887    0.019    0.000    0.196    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_tensor.py:33(wrapped)
   650092    0.191    0.000    0.192    0.000 {built-in method builtins.max}
    27948    0.017    0.000    0.187    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/functional.py:1693(relu)
    19874    0.185    0.000    0.185    0.000 {method 'gather' of 'torch._C.TensorBase' objects}
   289443    0.182    0.000    0.182    0.000 {built-in method torch._C._get_tracing_state}
    29168    0.178    0.000    0.178    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   196080    0.081    0.000    0.175    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_utils.py:867(is_compiling)
     9026    0.013    0.000    0.174    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/policies.py:148(device)
    13974    0.015    0.000    0.173    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/policies.py:122(extract_features)
